player_fotmob_id,season_start,name,team,role,fantavoto_medio,n_votes,n_matches,match_method
248453,2023,Pogba,Juventus,MID,6.0,2,2,last_name_team_role_season
1396089,2023,Prati,Cagliari,MID,6.0,26,26,last_name_team_role_season
,2023,Saponara,Verona,MID,6.0,10,10,unmatched
983047,2023,Tavsan,Verona,FWD,6.0,2,2,last_name_team_role_season
1308909,2023,Volpato,Sassuolo,MID,6.0,17,17,last_name_team_role_season
538540,2023,Walace,Udinese,MID,6.0,37,37,last_name_team_role_season
821240,2023,Weissman,Salernitana,FWD,6.0,11,11,last_name_team_role_season
1446625,2023,Zeroli,Milan,MID,6.0,1,1,last_name_role
,2023,Zima,Torino,DEF,6.0,3,3,unmatched
350634,2023,Duda,Verona,MID,5.984,32,32,last_name_team_role_season
281012,2023,Kostic,Juventus,MID,5.983,29,29,last_name_team_role_season
982633,2023,Zemura,Udinese,DEF,5.976,21,21,last_name_team_role_season
198559,2023,De Roon,Atalanta,MID,5.967,30,30,last_name_team_role_season
894803,2023,Spence,Genoa,DEF,5.967,15,15,last_name_team_role_season
958401,2023,Vogliacco,Genoa,DEF,5.967,15,15,last_name_team_role_season
420568,2023,Llorente D.,Roma,DEF,5.966,29,29,last_name_team_role_season
1212866,2023,Bove,Roma,MID,5.964,28,28,last_name_role
1116749,2023,Viti,Sassuolo,DEF,5.964,14,14,last_name_team_role_season
1329487,2023,Fazzini,Empoli,MID,5.96,25,25,last_name_role
667790,2023,Serdar,Verona,MID,5.957,23,23,last_name_team_role_season
114558,2023,Strootman,Genoa,MID,5.957,23,23,last_name_team_role_season
979789,2023,Caso,Frosinone,FWD,5.955,11,11,last_name_team_role_season
362120,2023,Cataldi,Lazio,MID,5.955,22,22,last_name_team_role_season
560945,2023,Vojvoda,Torino,DEF,5.952,21,21,last_name_role
1421505,2023,Gineitis,Torino,MID,5.95,10,10,last_name_team_role_season
1289600,2023,Gonzalez J.,Lecce,MID,5.944,27,27,last_name_team_role_season
822789,2023,Dossena,Cagliari,DEF,5.943,35,35,last_name_team_role_season
624166,2023,Locatelli,Juventus,MID,5.943,35,35,last_name_team_role_season
1106074,2023,Gila,Lazio,DEF,5.929,21,21,last_name_team_role_season
747926,2023,Kean,Juventus,FWD,5.929,14,14,last_name_team_role_season
790732,2023,Pobega,Milan,MID,5.929,7,7,last_name_team_role_season
518633,2023,Kyriakopoulos,Monza,DEF,5.926,27,27,last_name_team_role_season
1321562,2023,Coppola D.,Verona,DEF,5.925,20,20,last_name_team_role_season
684981,2023,Martin,Genoa,DEF,5.925,20,20,last_name_team_role_season
485634,2023,Gagliardini,Monza,MID,5.922,32,32,last_name_team_role_season
900043,2023,Matheus Henrique,Sassuolo,MID,5.919,31,31,last_name_team_role_season
260964,2023,Djimsiti,Atalanta,DEF,5.917,36,36,last_name_team_role_season
737061,2023,Karlsson,Bologna,FWD,5.917,6,6,last_name_team_role_season
308517,2023,Lobotka,Napoli,MID,5.908,38,38,last_name_team_role_season
949731,2023,Zappa,Cagliari,DEF,5.905,37,37,last_name_team_role_season
792756,2023,Aebischer,Bologna,MID,5.903,31,31,last_name_team_role_season
252650,2023,Caprari,Monza,FWD,5.9,5,5,last_name_team_role_season
834956,2023,Magnani,Verona,DEF,5.9,30,30,last_name_team_role_season
1280080,2023,Miretti,Juventus,MID,5.9,20,20,last_name_team_role_season
1157634,2023,Mitrovic S.,Verona,MID,5.9,10,10,last_name_team_role_season
662205,2023,Lazzari,Lazio,DEF,5.896,24,24,last_name_team_role_season
281762,2023,Terracciano F.,Verona,DEF,5.895,19,19,last_name_role_season
1191685,2023,Seck,Torino,FWD,5.893,14,14,last_name_role_season
